SMILES,CLUSTER
CCCCC(C(=O)COc1c(F)c(F)cc(F)c1F)n1cc(C(C)(NCc2ccncc2)C(C)C)nn1,1.1.2
CCCCC(C(=O)COc1c(F)c(F)cc(F)c1F)n1cc(C(C)(NCc2ccc3ncsc3c2)C(C)C)nn1,2.0
CCCCC(C(=O)COc1c(F)c(F)cc(F)c1F)n1cc(C(C)(NC(=O)c2ccc3ncsc3c2)C(C)C)nn1,2.0
COCCC(C(=O)COc1c(F)c(F)cc(F)c1F)n1cc(C(C)(NCc2ccc3ncsc3c2)C2CCCC2)nn1,2.0
CC(NCc1ccc2ncsc2c1)(c1cn(C(CCS(C)(=O)=O)C(=O)COc2c(F)c(F)cc(F)c2F)nn1)C1CCCC1,2.0
CCCCC(C(=O)COc1c(F)c(F)cc(F)c1F)n1cc(C(C)(NCc2ccc3ncsc3c2)C2CCCC2)nn1,2.0
COCCC(C(=O)COc1c(F)c(F)cc(F)c1F)n1cc(C(C)(NCc2ccc3ncsc3c2)C(C)C)nn1,2.0
CC(C)C(C)(NCc1ccc2ncsc2c1)c1cn(C(CCS(C)(=O)=O)C(=O)COc2c(F)c(F)cc(F)c2F)nn1,2.0
C=CCn1c(-c2ccccc2)csc1=Nc1sc2c(c1C(=O)OCC)CCCC2,4.0
CC(C)CC(NC(=O)C1OC1C(=O)O)C(=O)NCCCCN=C(N)N,1.1.1
CC(=NNc1nc(C)cs1)c1ccc(Cl)c(Cl)c1,1.1.3
CCOC(=O)C=CC=CC(=O)C(CCc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)N1CCOCC1,3.0
CCOC(=O)C=CC(=O)C(CCc1ccccc1)NC(=O)C(CC(C)C)NC(=O)N1CCOCC1,3.0
CCOC(=O)C=CC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)N1CCOCC1,3.0
CCOC(=O)C=CC(=O)C(CCc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)N1CCOCC1,3.0
CCOC(=O)C=CC(=O)C(CC(C)C)NC(=O)C(Cc1ccccc1)NC(=O)OCc1ccccc1,1.1.1
CCOC(=O)C=CC(=O)C(C)NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1,1.1.1
CCOC(=O)C=CC(=O)C(C)NC(=O)C(Cc1ccccc1)NC(=O)OCc1ccccc1,1.1.1
CCOC(=O)C=CC(=O)C(CCc1ccccc1)NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1,1.1.1
CCOC(=O)C=CC(O)C(CCc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)N1CCOCC1,3.0
